,,song,singer,urls
1976,29,Theme from ,Rhythm Heritage,https://www.youtube.com/watch?v=eS-GcJEsTBo
1976,30,Love Rollercoaster,Ohio Players,https://www.youtube.com/watch?v=9VH6yD8zobM
1976,31,You Should Be Dancing,Bee Gees,https://www.youtube.com/watch?v=_JoZS6LgqYI
1976,32,You'll Never Find Another Love Like Mine,Lou Rawls,https://www.youtube.com/watch?v=7RPjCUhHzsU
1976,33,Golden Years,David Bowie,https://www.youtube.com/watch?v=1Dx2XPdmvpY
1976,34,Moonlight Feels Right,Starbuck,https://www.youtube.com/watch?v=HYnQsvtfEsQ
1976,35,Only Sixteen,Dr. Hook,https://www.youtube.com/watch?v=olQNes_mq8I
1976,36,Let Your Love Flow,The Bellamy Brothers,https://www.youtube.com/watch?v=FQQj2rQBFvA
1976,37,Dream Weaver,Gary Wright,https://www.youtube.com/watch?v=xZKuzwPOefs
1976,38,Turn the Beat Around,Vicki Sue Robinson,https://www.youtube.com/watch?v=vz9pZW5OvM4
1976,39,Lonely Night (Angel Face),Captain & Tennille,https://www.youtube.com/watch?v=a2pA8XZRb7c
1976,40,All by Myself,Eric Carmen,https://www.youtube.com/watch?v=iN9CjAfo5n0
1976,41,Love to Love You Baby,Donna Summer,https://www.youtube.com/watch?v=V5AztWseIdU
1976,42,Deep Purple,"Donny,Marie Osmond,",https://www.youtube.com/watch?v=CXIENnTJ5a8
1976,43,Theme from ,Diana Ross,https://www.youtube.com/watch?v=eS-GcJEsTBo
1976,44,Sweet Thing,Rufus,https://www.youtube.com/watch?v=ZLaj4VMQfxc
1976,45,That's the Way (I Like It),KC and the Sunshine Band,https://www.youtube.com/watch?v=Ajrir__HG9o
1976,46,A Little Bit More,Dr. Hook,https://www.youtube.com/watch?v=uF0_947VPNA
1976,47,Shannon,Henry Gross,https://www.youtube.com/watch?v=R5Wpn3dFrEs
1976,48,If You Leave Me Now,Chicago,https://www.youtube.com/watch?v=-9_d-sFhmRM
1976,49,Lowdown,Boz Scaggs,https://www.youtube.com/watch?v=I-hKBmTAADo
1976,50,Show Me the Way,Peter Frampton,https://www.youtube.com/watch?v=UAynwzutk0A
1977,1,Tonight's the Night (Gonna Be Alright),Rod Stewart,https://www.youtube.com/watch?v=IZr6AE-u2UM
1977,2,I Just Want to Be Your Everything,Andy Gibb,https://www.youtube.com/watch?v=tA6L8-lxaA8
1977,3,Best of My Love,The Emotions,https://www.youtube.com/watch?v=1ebosz4VbE8
1977,4,Evergreen (Love Theme from ,Barbra Streisand,https://www.youtube.com/watch?v=udLeOOy6em4
1977,5,Angel in Your Arms,Hot,https://www.youtube.com/watch?v=bku5VetnNvc
1977,6,I Like Dreamin',Kenny Nolan,https://www.youtube.com/watch?v=yb2OweNMQvo
1977,7,Don't Leave Me This Way,Thelma Houston,https://www.youtube.com/watch?v=rUdw7V-FC_Q
1977,8,(Your Love Has Lifted Me) Higher and Higher,Rita Coolidge,https://www.youtube.com/watch?v=mC6l7ypNqKA
1977,9,Undercover Angel,Alan O'Day,https://www.youtube.com/watch?v=G-xRMw0NyW0
