year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
1975,44,I Can Help,Billy Swan,https://www.youtube.com/watch?v=tBBw1MEOMWI,1,125.313,C Major,I Can Help,Billy Swan
1976,44,Sweet Thing,Rufus,https://www.youtube.com/watch?v=ZLaj4VMQfxc,0,,,,
1977,44,The Things We Do for Love,10cc,https://www.youtube.com/watch?v=P0rf3_viTxk,0,,,,
1978,44,Love Will Find a Way,Pablo Cruise,https://www.youtube.com/watch?v=WuvZ-XN_PyA,1,124.238,G Major,Love Will Find A Way,Pablo Cruise
1979,44,Hold the Line,Toto,https://www.youtube.com/watch?v=htgr3pvBr-I,0,,,,
1980,44,The Second Time Around,Shalamar,https://www.youtube.com/watch?v=xz4YQZ01Q_A,1,112.402,Db Major,The Second Time Around,Shalamar
1981,44,I Don't Need You,Kenny Rogers,https://www.youtube.com/watch?v=g_t11quKuDI,1,135.195,Db Major,I Don't Need You,Kenny Rogers
1982,44,Private Eyes,Hall & Oates,https://www.youtube.com/watch?v=JsntlJZ9h1U,0,,,,
1983,44,Stand Back,Stevie Nicks,https://www.youtube.com/watch?v=gwS9BIqbffU,1,115.269,B Minor,Stand Back,Stevie Nicks
1984,44,The Heart of Rock & Roll,Huey Lewis and the News,https://www.youtube.com/watch?v=M7JVlpm0eRs,0,,,,
1985,44,Never Surrender,Corey Hart,https://www.youtube.com/watch?v=-4pg6Jh94Lo,0,,,,
1986,44,No One Is to Blame,Howard Jones,https://www.youtube.com/watch?v=pekhxxngQ3s,0,,,,
1987,44,Touch Me (I Want Your Body),Samantha Fox,https://www.youtube.com/watch?v=W1btg3mpEOc,1,104.882,A Minor,Touch Me (I Want Your Body),Samantha Fox
1988,44,Together Forever,Rick Astley,https://www.youtube.com/watch?v=yPYZpwSpKmA,1,115.114,D Major,Together Forever,Rick Astley
1989,44,Batdance,Prince,https://www.youtube.com/watch?v=ulOLYnOthIw,1,135.406,Db Major,Batdance,Prince
1990,44,Alright,Janet Jackson,https://www.youtube.com/watch?v=hH715qFTlAc,0,,,,
1991,44,Fading Like a Flower (Every Time You Leave),Roxette,https://www.youtube.com/watch?v=8fGLiIvKKys,0,,,,
1992,44,Set Adrift on Memory Bliss,P.M. Dawn,https://www.youtube.com/watch?v=M5VoTLTdr2A,1,100.025,F Minor,Set Adrift on Memory Bliss (Re-Recorded),P.M. Dawn
1993,44,"Whoot, There It Is",95 South,https://www.youtube.com/watch?v=aBwvFBxf_Eg,1,132.952,G Major,"Whoot, There It Is (Ultimix)",95 South
1994,44,Stroke You Up,Changing Faces,https://www.youtube.com/watch?v=n6GU6HN-M6k,0,,,,
1995,44,I'm the Only One,Melissa Etheridge,https://www.youtube.com/watch?v=oCphbDRkZSo,0,,,,
1996,44,1979,The Smashing Pumpkins,https://www.youtube.com/watch?v=4aeETEoNfOg,0,,,,
1997,44,I'm Still in Love with You,New Edition,https://www.youtube.com/watch?v=RT1MAzyUkJE,0,,,,
1998,44,Feel So Good,Mase,https://www.youtube.com/watch?v=0CuO2ZpqkBM,1,105.154,B Minor,Feel so Good,Mase
1999,44,It's Not Right but It's Okay,Whitney Houston,https://www.youtube.com/watch?v=6J538b-OLRU,1,129.968,F Minor,It's Not Right But It's Okay,"Felix Jaehn, Whitney Houston"
2000,44,I Need You,LeAnn Rimes,https://www.youtube.com/watch?v=AA_5sLaTErQ,1,144.705,G Major,I Need You,LeAnn Rimes
2001,44,Kryptonite,3 Doors Down,https://www.youtube.com/watch?v=b1qlLf_LW6o,0,,,,
2002,44,Down 4 U,"Ja Rule,Ashanti,Charli Baltimore,",https://www.youtube.com/watch?v=6Y7VUsek7PI,0,,,,
2003,44,Miss Independent,Kelly Clarkson,https://www.youtube.com/watch?v=dS1ZW0FdoIU,0,,,,
2004,44,Locked Up,"Akon,Styles P,",https://www.youtube.com/watch?v=14PgWitIbSk,1,89.926,G Major,Locked Up - Remix,"Akon, Styles P"
2005,44,Lonely,Akon,https://www.youtube.com/watch?v=6EEW-9NDM5k,1,90.087,F Minor,Lonely,Akon
2006,44,Yo (Excuse Me Miss),Chris Brown,https://www.youtube.com/watch?v=yn_6LC4loY8,0,,,,
2007,44,Make Me Better,"Fabolous,Ne-Yo,",https://www.youtube.com/watch?v=zyz1oAHY-_g,1,86.471,B Major,Make Me Better,"Fabolous, Ne-Yo"
2008,44,Sorry,Buckcherry,https://www.youtube.com/watch?v=77pb0WXAz-Q,1,130.918,D Major,Sorry,Buckcherry
2009,44,Love Lockdown,Kanye West,https://www.youtube.com/watch?v=HZwMX6T5Jhk,0,,,,
